"","NADA_at","NADC_at","YCDH_at","YCIC_at","YHFH_r_at","YHZA_at","YOPF_i_at","YRBA_at","YRZI_r_at","YTIA_at"
"knh_510_BS3416_E_Fbat1092_PT24_3.Rep.CEL",8.26021221108267,8.40327786673642,7.19873228837255,7.50998050473259,9.37571271760022,7.65331010496202,9.60968335334103,7.74219096274967,9.9133530575843,8.09095178671225
"knh_512_BS3416_E_Fbat1092_PT48_3.Rep.CEL",8.74617817887156,8.43511494994692,8.42141979858868,8.1278790673133,8.38332189014677,9.24956890264741,8.80585423622242,8.61413546178888,8.30392293587294,8.844538427035
"knh_532_BS3416_E_Fbat1092_PT30_3.Rep_wh.CEL",8.45756939180982,8.20895624387313,7.23824492489794,7.51242991893506,9.19220085500414,7.64345474544414,10.2916292959494,8.14235455255793,8.7435776780932,8.45828862065482
"knh_655_BS5009_Fbat1374_PT24_1.Repl._No.2_repeated RNA.CEL",8.29805972820175,8.35176978530282,7.70219087237431,7.57957449710081,9.14402541907017,8.08932243245009,7.75921290185518,7.88812691609438,9.34438987159673,8.54836295557455
"knh_657_BS5009_Fbat1379_PT24_2.Repl._No.6_repeated RNA.CEL",8.69050018272638,7.97223071516613,7.90123971543379,7.79269299869047,8.69709209202681,8.56297940910051,7.7062638206031,8.0190708414015,9.01701247258457,8.81032668484093
"knh_659_BS5009_Fbat1383_PT24_3.Repl._No.10_repeated RNA.CEL",7.51034977188929,7.92952516526625,7.18811832903446,7.39336089153061,9.63064975407111,8.53318285896732,5.25071529046477,6.82973144874112,9.51491229768927,7.95833237091233
"knh_660_BS5009_Fbat1374_PT30_1.Repl._No.3_rep_cDNA_new Yeast.CEL",8.64554788382705,8.70120417806707,7.80053820644112,7.73360873449056,9.14848637375285,8.25252685607007,8.62835234889899,8.15121832331026,7.99164044723377,8.44221419881344
"knh_661_BS5009_Fbat1374_PT48_1.Repl._No.4_rep_cDNA_new Yeast.CEL",10.1658353708254,10.142086472239,11.1413987054451,11.6812549510042,8.08322107840031,12.1025095355436,7.99714685842912,9.93796047855256,9.34931188614337,11.8114538672735
"knh_662_BS5009_Fbat1379_PT30_2.Repl._No.7_rep_cDNA_new Yeast.CEL",7.82429473452209,8.06033136175268,8.6478641787916,7.27767880786365,9.4291743353219,8.97508623847028,7.49158851512577,7.42184098304172,9.28194585729395,8.819509399254
"knh_663_BS5009_Fbat1379_PT48_2.Repl._No.8_rep_cDNA_new Yeast.CEL",8.36634064414117,8.28481634603433,10.8211372761437,10.9847595968149,8.04359755772911,12.1843511796223,9.16090752927726,7.62893369024244,9.19387850233963,11.731291455793
"knh_664_BS5009_Fbat1383_PT30_3.Repl._No.11_rep_cDNA_new Yeas.CEL",7.60030042362423,7.78882910114211,8.0062187839062,7.35188276188918,9.11363158102096,8.32130712433508,7.87280032229644,6.88676059241084,8.91590185664875,8.53613605885998
"knh_665_BS5009_Fbat1383_PT48_3.Repl._No.12_rep_cDNA_new Yeas.CEL",10.3225961858507,10.3594900405438,11.1351088805338,11.756258031479,8.20298305748186,11.3095643274749,7.90885664778863,9.86962088018444,9.10835895534299,11.7087882334432
"knh_679_BS5254_Fbat1442_PT24_1.Repl._No.38.CEL",7.67204904437515,8.06132882118455,7.33378096863408,7.22517184929233,7.4968352677074,7.57594239116073,9.13358074213142,7.73054551652916,10.0248393632845,8.05811389457821
"knh_680_BS5254_Fbat1442_PT30_1.Repl._No.39.CEL",11.999140133922,12.0386183227435,7.6140615511839,7.38982725851448,8.27711940064468,7.46268805865305,10.0552648374557,11.5391065093869,8.01545584780408,8.62280663997865
"knh_681_BS5254_Fbat1442_PT48_1.Repl._No.40.CEL",8.8828480287231,8.39659028369783,11.3428091266034,11.3300711004203,8.01230071896379,11.2787444692899,9.80491775015288,8.54237117563028,8.44839318023337,11.4246279835575
"knh_683_BS5254_Fbat1443_PT24_2.Repl._No.42.CEL",8.09582744784882,8.26245967089445,7.43485767147558,7.46299597736961,7.85628224641408,7.73995206973609,9.82163205276494,7.58456683788921,9.12576339004362,7.98060867870467
"knh_684_BS5254_Fbat1443_PT30_2.Repl._No.43.CEL",12.2965868518482,12.1810121621393,7.75691889792096,7.19144815879891,8.57228049639826,8.14196579207731,9.26083714158144,11.9482677184876,9.13491085696029,8.29660567772032
"knh_685_BS5254_Fbat1443_PT48_2.Repl._No.44.CEL",8.02934737606919,8.01680385261028,11.3756834710061,11.7564666619439,8.03507593210921,11.6628544856841,9.53309741699202,7.77657774565748,9.28136483142524,11.8653071613369
"knh_687_BS5254_Fbat1444_PT24_3.Repl._No.46.CEL",8.4134070578411,8.68661671400129,7.57893203138354,7.5412659769192,7.83712221651241,7.77060634619871,9.43631476401803,7.74128793616953,8.91404860212151,8.14174299462642
"knh_688_BS5254_Fbat1444_PT30_3.Repl._No.47.CEL",12.2587002025586,12.1471656239039,6.96598951845056,7.29132373922725,8.24040130919547,7.78006738262566,9.61103449759015,11.8047419479018,8.9356381089309,8.04806421768618
"knh_689_BS5254_Fbat1444_PT48_3.Repl._No.48.CEL",8.67913159325548,8.64588174652816,11.8512267092205,12.2180462644669,8.01417892279702,11.5898042326426,8.61120126247259,7.9004025805647,8.63154561416317,11.8410897859793
"knhb_039_Fbat152PT24.CEL",7.99616867223651,7.90507064169935,10.3024010483526,11.4579256318236,10.7569645742596,11.2196322147039,7.98157971773742,7.53505284568337,8.92896515029023,10.7749903776239
"knhb_040_Fbat152PT48.CEL",10.179612316032,10.1158379558298,9.76789064812359,11.0221652826795,7.34352598580296,11.1373294973402,8.1731762906811,9.47424562293936,8.06571421859081,10.4411297136421
"knhb_041_Fbat152PT52.CEL",9.50360527509103,9.4783252285008,10.747054664492,11.8898177188748,7.61399673124288,11.3742665674279,7.42375080549247,9.29995078397389,8.79963306221708,11.6608403682552
"knhb_046_Fbat202PT24.CEL",11.5676578954495,11.3901474185249,8.79567650592152,10.7477547543969,10.8371276959088,10.9872117468223,8.18372133155941,11.3447182335237,9.08140146669481,10.6764333127395
"knhb_047_Fbat202PT48.CEL",10.2521594448004,10.1689847619392,10.2719939964181,11.1497288447921,7.92130363660714,11.1045548369919,9.03803845773206,9.85292067912099,8.33624075239719,11.9000211608484
"knhb_049_Fbat203PT24.CEL",8.27911402555415,8.56645784524239,9.90916858814162,11.0667479054241,10.3799541870372,11.0626453798486,8.80773599691028,7.97378921485309,7.93228600514538,10.6952185395354
"knhb_050_Fbat203PT48.CEL",9.78250047035867,9.56884978909346,9.40153203144487,10.7705794361615,8.00710269455012,10.5219887663603,9.29689022513489,9.31003336774545,7.80291654446468,11.1950574907329
"knhb_090_Fbat284PT24.CEL",10.1376635040189,9.90717384944321,7.22433008054628,7.67862952436827,7.54158489085523,7.91720783459925,7.91241106221515,9.4920643884494,4.73692168133744,7.92431765880796
"knhb_091_Fbat284PT48.CEL",10.064645915265,9.97647537120858,8.80238271921302,9.35314815312534,7.07202849003787,9.61717189711043,9.83590625396569,9.57813028265511,5.50149928602786,10.1466262261094
"knhb_098_Fbat287PT24.CEL",10.6132330141613,10.5862994309825,9.84071954139554,11.0475719274613,10.3539374248583,10.973283310218,7.79820286795367,10.1790823618916,8.24149257806221,10.9250952247788
"knhb_099_Fbat287PT48.CEL",10.2443760512217,10.0437882182125,9.92257911774372,10.8986627515771,7.55304594067701,10.2049343218046,7.7054822676954,9.929463003708,8.63524001114531,11.344578484031
"knhb_169_Fbat395PT24.CEL",10.9091764387506,10.6396780227442,9.72393172023098,8.09899602110468,11.2890199468348,9.70530093151797,8.22576255863227,10.4525591893469,7.25932731055957,9.22466463776577
"knhb_170_Fbat395PT48.CEL",8.91130290586994,8.95089275116536,8.95211566443029,8.77751873236018,9.1026188124787,9.98980864483553,8.42830024115367,8.22679455846852,8.99303002008757,9.92364740921543
"knhb_174_Fbat396PT24.CEL",9.14000998765873,8.98229850513698,6.94543871542767,7.54404492889806,11.2768856303875,8.5538729161225,6.1354757195008,8.65053512887778,8.04540423664431,7.42201923137212
"knhb_175_Fbat396PT48.CEL",8.77787700910894,8.95469431201382,8.0631957999146,7.89263259673809,8.0806460064655,8.66909908376428,10.584367974396,8.58257614230378,6.56676690613214,8.96098472061794
"knhb_180_Fbat397PT24.CEL",8.37464286296939,8.20332577840373,6.95266078336096,7.2768477112578,10.9161319538927,8.55333750353949,6.29546170300205,7.96679863700652,9.64443507867831,7.55810283565589
"knhb_181_Fbat397PT48.CEL",9.44179808380464,9.40099906091701,7.01849626570604,7.31214709798616,11.0059122913239,7.74469122874832,8.36417574571233,9.16199199882531,8.24068496505991,7.99467593789839
"knhb_186_Fbat398PT24.CEL",10.2084171052065,9.93034758361752,6.8353751854669,7.39217836085124,12.0459624854332,8.01037189148686,7.23344709544115,9.94839343253799,7.5299864487259,7.23453134387744
"knhb_187_Fbat398PT48.CEL",11.3775181343958,11.2259973654934,6.62108463146148,7.29777147447327,8.07871899214257,8.17991534922341,8.59271344198202,11.0499789542131,9.98777013655921,7.682452890832
"knhb_237_Fbat394PT24.CEL",7.38377166669209,7.80564727650279,10.0639651325399,11.215744224278,10.9368715378484,11.8985210250417,7.28989399641753,7.10236609338423,9.71169088436165,10.9456879036299
"knhb_238_Fbat394PT48.CEL",8.80409348382322,8.8789538031029,9.61332398964726,10.7207014158713,7.57084962649788,10.6295833451073,8.88608199795201,8.20527490525584,8.98217446037199,11.2049596963435
"knhb_247_Fbat525PT24.CEL",8.8947484620107,8.6477684667618,8.11222967541855,8.80091120729933,9.92363810769071,11.0170971852541,8.96262640767817,8.48661303828286,6.35010384315845,9.19614420881143
"knhb_248_Fbat525PT48.CEL",8.72852953787205,8.65896115097971,9.16268062187914,10.2219855754457,8.57827792605521,11.7827156432034,8.1823427890207,8.11961881229614,7.32611302184082,10.124608576338
"knhb_251_Fbat526PT24.CEL",11.8835177313241,11.631218621684,9.7400528568876,10.3452350464002,10.5014008300297,11.4188408707542,9.70541443227306,11.6862598951187,7.04574403417194,10.1254451812977
"knhb_252_Fbat526PT48.CEL",8.60210424961365,8.56070151886075,9.27915760141714,10.4836857148839,8.9024115507199,11.5341173019322,8.81316835899081,8.25124424673596,8.32892316726865,10.7981353498746
"knhb_255_Fbat527PT24.CEL",7.3568074540586,7.76507442751227,10.8958228911984,11.117116028074,9.29699610822929,11.1725102267499,7.02846096239613,6.78572370118166,7.80113984919617,10.8178780883112
"knhb_256_Fbat527PT48.CEL",8.61889009924617,8.67587708796564,8.70948966325033,9.63549140548514,7.87036498516339,11.2222379251348,8.90866622961726,8.22649188539762,6.25052628031395,10.4891436154358
"knhb_259_Fbat528PT24.CEL",7.31612148882109,7.57802356223082,10.4432964609835,8.29577323500851,8.74702704544956,8.7858526273234,7.22726235632779,7.15948267291231,8.60204123325551,9.75513562298652
"knhb_260_Fbat528PT48.CEL",10.0326309155965,9.75216774297522,9.0017008455952,9.36127619755743,7.10244060549642,10.9407018266313,9.46216047331057,9.7749967701628,6.39711691382107,10.4363439771045
